college_id,college_name
1,Gonzaga
2,Syracuse
3,none
4,Providence
5,Illinois University of Evansville
6,Kentucky
7,St. Bonaventure
8,Vanderbilt
9,NC State
10,Bowling Green
11,NYU
12,Michigan State
13,Oregon
14,UNC
15,Tennessee
16,West Texas A&M University
17,Oregon State
18,Santa Clara
19,Utah State University
20,UCLA
21,Iowa State
22,Virginia
23,Alabama
24,George Washington
25,Montana State
26,Drake University
27,Texas Tech
28,Franklin College
29,UConn
30,Arizona State
31,University of North Texas
32,Texas
33,Iowa State LSU
34,Indiana
35,Morehead State University
36,Mississippi State
37,Pitt
38,St. John's
39,LSU
40,Tulsa
41,Georgia Tech
42,Purdue
43,Houston
44,Kansas
45,Western Michigan
46,Oklahoma State
47,Penn
48,Texas Tech Arkansas
49,USC
50,Loyola Chicago
51,Long Island University
52,Mississippi State Notre Dame
53,Iowa
54,Washington
55,Utah Valley BYU
56,Notre Dame
57,Memphis
58,Texas-El Paso
59,Michigan
60,Grambling State University
61,Baylor
62,San Francisco
63,New Mexico
64,South Carolina
65,Louisville
66,Illinois
67,Auburn
68,Richmond
69,North Park University
70,Miami University
71,NC State Auburn
72,Wingate University
73,Georgetown
74,Stanford
75,VCU
76,Northern Illinois
77,Dayton
78,Wisconsin
79,Nevada Louisiana Tech
80,Cal State Long Beach
81,Rice University
82,Lamar New Orleans
83,Colorado
84,Villanova
85,Southern Illinois Georgia Pfeiffer University
86,Florida
87,Western Kentucky
88,Austin Peay State University
89,Arkansas
90,Marquette Virginia
91,Ohio State
92,Illinois State
93,Bradley
94,Xavier
95,Southern Illinois
96,Western Carolina University Georgia
97,Boston University
98,Idaho State University
99,Butler
100,Marquette
101,Detroit Mercy
102,Indiana State University
103,Acadia University
104,Oklahoma
105,Northwestern
106,Canisius
107,Holy Cross
108,Wake Forest
109,Georgia
110,Duke
111,Cal State Fullerton
112,Hawaii
113,Washington State
114,California
115,Oklahoma City University Kansas
116,UC Santa Barbara
117,DePaul
118,Midland College Oklahoma
119,Kansas State
120,University of Arkansas at Pine Bluff
121,Mount Union College
122,Minnesota
123,Miami (FL)
124,Boston College Fresno State
125,Jacksonville University Houston
126,City College of New York
127,UT Arlington
128,Davidson
129,Temple
130,Tulane
131,Ashland University
132,Eastern Michigan
133,University of Northern Colorado
134,Fresno State
135,Nevada
136,Wheeling University
137,Princeton
138,Winston-Salem State
139,Oklahoma City University
140,IUPUI
141,Arizona
142,San Jose State
143,Rutgers University
144,Brooklyn College
145,Queens College
146,Cincinnati
147,Fresno State San Diego State
148,New Orleans
149,SMU
150,Jackson State University
151,Mississippi State Duke
152,Nebraska
153,Auburn South Carolina
154,Texas A&M
155,Penn State
156,Maryland
157,Springfield College
158,University of Tennessee at Martin
159,Missouri Southern Illinois
160,Central Michigan University
161,Colorado State
162,Syracuse East Carolina University
163,Saint Louis
164,Thomas More College
165,Oklahoma Notre Dame
166,West Virginia
167,Ohio University
168,Alcorn State Jackson State University
169,Georgia State University
170,Murray State
171,BYU
172,Boise State
173,Hamline University
174,Eastern New Mexico University
