ranking,player_name,points
1,Trae Young,2155
2,DeMar DeRozan,2118
3,Joel Embiid,2079
4,Jayson Tatum,2046
5,Nikola Jokić,2004
6,Giannis Antetokounmpo,2002
7,Luka Dončić,1847
8,Devin Booker,1822
9,Karl-Anthony Towns,1818
10,Donovan Mitchell,1733
11,LeBron James,1695
12,Kevin Durant,1643
13,Zach LaVine,1635
14,Stephen Curry,1630
15,Miles Bridges,1613
16,Ja Morant,1564
17,Jaylen Brown,1559
18,Pascal Siakam,1551
19,Anthony Edwards,1533
20,LaMelo Ball,1508
21,Darius Garland,1473
22,Julius Randle,1447
23,Russell Westbrook,1441
24,Dejounte Murray,1438
25,James Harden,1432
26,Terry Rozier,1408
27,Jordan Poole,1405
28,RJ Barrett,1402
29,Desmond Bane,1384
30,Shai Gilgeous-Alexander,1371
31,CJ McCollum,1370
32,De'Aaron Fox,1367
33,Tyler Herro,1367
34,Khris Middleton,1325
35,Saddiq Bey,1321
36,Fred VanVleet,1320
37,Jonas Valančiūnas,1314
38,Tyrese Maxey,1311
39,Nikola Vučević,1288
40,Jalen Brunson,1285
41,Gary Trent Jr.,1283
42,Keldon Johnson,1278
43,Jaren Jackson Jr.,1272
44,Jordan Clarkson,1266
45,Harrison Barnes,1265
46,Buddy Hield,1265
47,Reggie Jackson,1263
48,Tobias Harris,1257
49,Andrew Wiggins,1256
50,Bojan Bogdanović,1248
51,Brandon Ingram,1246
52,Jrue Holiday,1225
53,Jimmy Butler,1219
54,Christian Wood,1218
55,Franz Wagner,1197
56,Tyrese Haliburton,1181
57,D'Angelo Russell,1176
58,Domantas Sabonis,1171
59,Mikal Bridges,1162
60,Jalen Green,1157
61,Kelly Oubre Jr.,1137
62,Scottie Barnes,1134
63,Kyle Kuzma,1130
64,Aaron Gordon,1126
65,Evan Fournier,1125
66,Cade Cunningham,1114
67,Bam Adebayo,1068
68,Cole Anthony,1062
69,Bobby Portis,1052
70,Malik Monk,1048
71,Will Barton,1043
72,Evan Mobley,1034
73,Kristaps Porziņģis,1030
74,Rudy Gobert,1027
75,Kentavious Caldwell-Pope,1018
76,Kevin Love,1007
77,Deandre Ayton,997
78,Derrick White,992
79,Anfernee Simons,988
80,Mike Conley,986
81,Caris LeVert,986
82,Seth Curry,960
83,Chris Paul,958
84,Malik Beasley,953
85,Bogdan Bogdanović,950
86,Kevin Porter Jr.,949
87,Monte Morris,945
88,Alec Burks,944
89,Montrezl Harrell,932
90,Wendell Carter Jr.,931
91,Bradley Beal,928
92,Anthony Davis,927
93,Patty Mills,923
94,Carmelo Anthony,919
95,Spencer Dinwiddie,919
96,Jae'Sean Tate,919
97,Jakob Poeltl,915
98,Jarrett Allen,904
99,Jerami Grant,904
100,Devonte' Graham,902
101,Lauri Markkanen,900
102,Kevin Huerter,892
103,Immanuel Quickley,882
104,Dorian Finney-Smith,880
105,Luguentz Dort,877
106,John Collins,876
107,Terance Mann,872
108,Devin Vassell,872
109,Dennis Schröder,867
110,Duncan Robinson,863
111,Davion Mitchell,861
112,Marcus Smart,861
113,Norman Powell,853
114,Lonnie Walker IV,849
115,Kyle Lowry,844
116,Jusuf Nurkić,842
117,Luke Kennard,833
118,Marcus Morris,830
119,OG Anunoby,822
120,Cameron Johnson,822
121,Clint Capela,820
122,Josh Hart,807
123,Kyrie Irving,796
124,De'Anthony Melton,791
125,Trey Lyles,786
126,Ivica Zubac,785
127,Gordon Hayward,778
128,Jeff Green,772
129,Coby White,772
130,Danilo Gallinari,771
131,Eric Gordon,765
132,Mo Bamba,756
133,Chris Boucher,754
134,Paul George,754
135,Justin Holiday,749
136,Darius Bazley,745
137,Herbert Jones,742
138,Grayson Allen,733
139,Max Strus,721
140,Chris Duarte,720
141,Dwight Powell,717
142,De'Andre Hunter,709
143,Cedi Osman,709
144,Al Horford,701
145,Georges Niang,700
146,Bones Hyland,698
147,Kenyon Martin Jr.,696
148,Damian Lillard,695
149,Nickeil Alexander-Walker,692
150,Alperen Şengün,692
151,Malcolm Brogdon,687
152,Deni Avdija,685
153,JaVale McGee,680
154,Ayo Dosunmu,679
155,Gary Harris,679
156,Daniel Gafford,677
157,Josh Giddey,674
158,P.J. Washington,668
159,Brandon Clarke,666
160,Josh Richardson,666
161,Precious Achiuwa,664
162,Bryn Forbes,663
163,Ben McLemore,655
164,Jaxson Hayes,654
165,Jonathan Kuminga,652
166,Klay Thompson,652
167,Garrison Mathews,650
168,Obi Toppin,648
169,Bruce Brown,647
170,Jaden McDaniels,647
171,Pat Connaughton,645
172,Naz Reid,637
173,Hamidou Diallo,636
174,Corey Kispert,634
175,Jae Crowder,632
176,Tyus Jones,632
177,Terrence Ross,629
178,Cameron Payne,626
179,Tre Mann,625
180,Amir Coffey,619
181,Oshae Brissett,613
182,Mitchell Robinson,610
183,LaMarcus Aldridge,607
184,Robert Williams,607
185,Chuma Okeke,605
186,Robert Covington,604
187,Grant Williams,602
188,Tim Hardaway Jr.,598
189,Talen Horton-Tucker,597
190,Gabe Vincent,591
191,Dillon Brooks,590
192,Isaiah Stewart,589
193,Isaac Okoro,588
194,Josh Christopher,587
195,Reggie Bullock,583
196,Andre Drummond,580
197,Doug McDermott,578
198,Landry Shamet,573
199,Royce O'Neale,570
200,Cam Thomas,570
201,Jalen Suggs,564
202,Moritz Wagner,564
203,Isaiah Hartenstein,563
204,Frank Jackson,560
205,Caleb Martin,551
206,Drew Eubanks,546
207,Cody Martin,544
208,Marvin Bagley III,540
209,Myles Turner,540
210,P.J. Tucker,539
211,Eric Bledsoe,534
212,Chimezie Metu,534
213,Hassan Whiteside,534
214,Patrick Beverley,533
215,Steven Adams,528
216,Jaylen Nowell,527
217,Raul Neto,526
218,Kyle Anderson,521
219,Cory Joseph,521
220,Torrey Craig,516
221,Otto Porter Jr.,515
222,Jarred Vanderbilt,512
223,Furkan Korkmaz,509
224,Gary Payton II,502
225,Taurean Prince,502
226,Ziaire Williams,501
227,Cam Reddish,497
228,Nicolas Batum,491
229,Kevon Looney,491
230,R.J. Hampton,489
231,Jordan Nwora,487
232,Mason Plumlee,477
233,Rui Hachimura,475
234,Duane Washington Jr.,473
235,Jalen Smith,470
236,Javonte Green,468
237,Richaun Holmes,468
238,Damion Lee,467
239,Aleksej Pokusevski,464
240,Lonzo Ball,455
241,Damian Jones,454
242,Isaiah Roby,454
243,Killian Hayes,453
244,Willy Hernangómez,453
245,Shake Milton,450
246,Rudy Gay,446
247,Ricky Rubio,445
248,Austin Reaves,444
249,Payton Pritchard,442
250,Nemanja Bjelica,433
251,JaMychal Green,432
252,Kemba Walker,431
253,DeMarcus Cousins,430
254,Dewayne Dedmon,422
255,Aaron Wiggins,416
256,Tre Jones,413
257,Maxi Kleber,411
258,Nic Claxton,410
259,Jeremy Lamb,410
260,Nassir Little,410
261,Ish Smith,410
262,Austin Rivers,403
263,Aaron Holiday,400
264,Avery Bradley,394
265,Onyeka Okongwu,392
266,Lance Stephenson,384
267,Daniel Theis,384
268,Lamar Stevens,383
269,Donte DiVincenzo,380
270,Matisse Thybulle,379
271,Dwight Howard,372
272,Danny Green,366
273,Jeremiah Robinson-Earl,366
274,Serge Ibaka,365
275,Kelly Olynyk,365
276,Trendon Watford,364
277,Kenrich Williams,363
278,Théo Maledon,361
279,Blake Griffin,359
280,Lou Williams,354
281,Goga Bitadze,349
282,John Konchar,349
283,Draymond Green,346
284,Mike Muscala,344
285,Tristan Thompson,344
286,Brandon Boston Jr.,343
287,Delon Wright,342
288,Ty Jerome,340
289,James Johnson,340
290,Jalen McDaniels,340
291,CJ Elleby,339
292,Keita Bates-Diop,335
293,George Hill,334
294,Trey Murphy III,334
295,Eric Paschall,334
296,Facundo Campazzo,332
297,Jose Alvarado,330
298,Josh Jackson,328
299,Joe Ingles,325
300,Thaddeus Young,322
301,Larry Nance Jr.,321
302,Stanley Johnson,320
303,Josh Green,319
304,Terry Taylor,318
305,Naji Marshall,313
306,Dāvis Bertāns,311
307,Terence Davis,311
308,Derrick Rose,311
309,Garrett Temple,309
310,Brandon Williams,309
311,Alex Caruso,304
312,Omer Yurtseven,299
313,Juan Toscano-Anderson,298
314,Isaiah Jackson,297
315,D.J. Augustin,294
316,Armoni Brooks,288
317,Joshua Primo,288
318,Wayne Ellington,287
319,Derrick Jones Jr.,286
320,DeAndre' Bembry,284
321,Kessler Edwards,284
322,Troy Brown Jr.,283
323,Jevon Carter,277
324,Quentin Grimes,275
325,Justise Winslow,274
326,Rodney McGruder,273
327,Zeke Nnaji,270
328,Dean Wade,269
329,Keon Johnson,267
330,Jock Landale,265
