game_id,game_date,age,opponent,outcome,started,field_goals,field_goal_attempts,field_goal_pct,three_points,three_point_attempts,three_point_pct,free_throw,free_throw_attempts,free_throw_pct,offense_rebound,defense_rebound,total_rebound,assists,steals,blocks,turnovers,personal_fouls,points,game_score,plus_minus,away_game
1,2010-10-27 00:00:00.000000,22-227,HOU,W (+4),1,9,16,0.563,3,6,0.5,4,4,1.0,1,1,2,11,0,1,5,4,25,20.2,4,0
2,2010-10-29 00:00:00.000000,22-229,LAC,W (+18),1,7,9,0.778,1,3,0.333,1,3,0.333,0,2,2,6,2,0,2,2,16,15.7,17,0
3,2010-11-05 00:00:00.000000,22-236,UTA,W (+7),1,7,17,0.412,1,4,0.25,5,5,1.0,0,1,1,6,2,0,5,5,20,10.4,8,0
4,2010-11-07 00:00:00.000000,22-238,DET,L (-5),1,3,12,0.25,0,3,0.0,4,4,1.0,1,3,4,6,2,0,2,4,10,7.0,-3,1
5,2010-11-08 00:00:00.000000,22-239,TOR,W (+7),1,12,21,0.571,2,4,0.5,8,8,1.0,2,3,5,4,3,0,5,2,34,26.4,13,1
6,2010-11-10 00:00:00.000000,22-241,NYK,W (+5),1,11,20,0.55,1,1,1.0,2,3,0.667,0,6,6,8,2,1,2,4,25,21.5,6,1
7,2010-11-11 00:00:00.000000,22-242,CHI,L (-30),1,7,18,0.389,2,5,0.4,1,2,0.5,0,3,3,6,5,0,5,2,17,11.1,-13,1
8,2010-11-13 00:00:00.000000,22-244,MIL,L (-7),1,3,14,0.214,0,3,0.0,1,2,0.5,1,1,2,4,3,1,2,5,7,1.5,-12,1
9,2010-11-15 00:00:00.000000,22-246,DET,W (+4),1,7,14,0.5,2,3,0.667,5,5,1.0,0,5,5,4,2,0,3,6,21,14.9,15,0
10,2010-11-19 00:00:00.000000,22-250,NYK,L (-6),1,9,21,0.429,3,6,0.5,8,9,0.889,0,5,5,8,1,0,4,4,29,20.0,-3,0
11,2010-11-21 00:00:00.000000,22-252,LAL,L (-28),1,5,10,0.5,1,3,0.333,2,2,1.0,0,3,3,2,1,2,0,3,13,11.5,-26,1
12,2010-11-22 00:00:00.000000,22-253,DEN,L (-17),1,8,21,0.381,1,6,0.167,0,0,,1,6,7,5,3,0,2,3,17,11.3,-19,0
13,2010-11-24 00:00:00.000000,22-255,HOU,L (-10),1,8,19,0.421,0,2,0.0,5,5,1.0,0,4,4,6,4,0,1,6,21,16.9,-11,1
14,2010-11-26 00:00:00.000000,22-257,MEM,L (-5),1,8,13,0.615,4,5,0.8,6,6,1.0,0,2,2,4,1,0,3,5,26,19.5,-1,1
15,2010-11-27 00:00:00.000000,22-258,MIN,W (+10),1,6,10,0.6,2,3,0.667,6,7,0.857,0,3,3,7,3,0,1,5,20,20.8,16,1
16,2010-11-30 00:00:00.000000,22-261,SAS,L (-20),1,13,22,0.591,3,6,0.5,3,3,1.0,1,2,3,5,1,1,5,2,32,22.5,-14,0
17,2010-12-02 00:00:00.000000,22-263,PHO,L (-6),1,4,10,0.4,1,3,0.333,0,0,,1,0,1,7,4,0,4,4,9,7.6,-6,0
18,2010-12-05 00:00:00.000000,22-266,OKC,L (-5),1,14,20,0.7,4,7,0.571,7,7,1.0,0,1,1,6,2,1,5,5,39,30.8,-9,1
19,2010-12-07 00:00:00.000000,22-268,DAL,L (-5),1,8,16,0.5,3,5,0.6,2,2,1.0,1,5,6,4,2,0,6,2,21,13.2,-2,1
20,2010-12-08 00:00:00.000000,22-269,SAS,L (-17),1,0,2,0.0,0,0,,0,0,,0,1,1,3,0,0,2,2,0,-1.8,-15,1
21,2010-12-25 00:00:00.000000,22-286,POR,W (+7),1,2,15,0.133,0,5,0.0,0,0,,1,3,4,11,0,0,2,2,4,0.8,7,0
22,2010-12-27 00:00:00.000000,22-288,PHI,W (+15),1,5,13,0.385,4,6,0.667,3,3,1.0,0,5,5,8,1,0,2,5,17,14.0,18,0
23,2010-12-29 00:00:00.000000,22-290,ATL,L (-10),1,4,13,0.308,0,3,0.0,1,1,1.0,1,4,5,12,0,0,3,2,9,8.0,-1,1
24,2010-12-31 00:00:00.000000,22-292,CHA,W (+1),1,10,17,0.588,4,5,0.8,0,0,,0,1,1,3,1,0,3,3,24,15.3,6,1
25,2011-01-01 00:00:00.000000,22-293,MIA,L (-7),1,7,12,0.583,1,2,0.5,0,0,,1,1,2,6,3,0,1,5,15,14.6,-12,1
26,2011-01-03 00:00:00.000000,22-295,ORL,L (-20),1,5,13,0.385,3,6,0.5,2,2,1.0,0,6,6,5,2,0,5,3,15,9.0,-13,1
27,2011-01-05 00:00:00.000000,22-297,NOH,W (+7),1,6,11,0.545,1,3,0.333,8,8,1.0,1,2,3,5,4,0,2,3,21,21.3,8,1
28,2011-01-07 00:00:00.000000,22-299,CLE,W (+18),1,4,7,0.571,3,4,0.75,4,4,1.0,0,2,2,4,2,1,0,2,15,17.0,15,0
29,2011-01-09 00:00:00.000000,22-301,LAC,L (-14),1,2,13,0.154,0,6,0.0,4,5,0.8,0,5,5,4,1,0,2,4,8,1.0,-13,1
30,2011-01-12 00:00:00.000000,22-304,LAL,L (-5),1,5,12,0.417,1,6,0.167,4,4,1.0,1,3,4,10,2,0,3,3,15,15.0,2,0
31,2011-01-14 00:00:00.000000,22-306,LAC,W (+10),1,7,15,0.467,5,7,0.714,4,4,1.0,1,3,4,4,1,0,2,2,23,17.9,9,0
32,2011-01-17 00:00:00.000000,22-309,NJN,W (+9),1,4,10,0.4,2,5,0.4,3,4,0.75,0,2,2,6,0,1,2,4,13,9.1,11,0
33,2011-01-19 00:00:00.000000,22-311,IND,W (+2),1,4,10,0.4,0,3,0.0,3,3,1.0,0,4,4,8,2,0,1,1,11,13.0,17,0
34,2011-01-21 00:00:00.000000,22-313,SAC,W (+7),1,12,21,0.571,3,7,0.429,7,7,1.0,1,2,3,3,4,0,4,2,34,26.7,7,0
35,2011-01-22 00:00:00.000000,22-314,LAC,L (-4),1,12,23,0.522,3,9,0.333,5,5,1.0,2,4,6,8,1,1,2,5,32,26.6,9,1
36,2011-01-24 00:00:00.000000,22-316,SAS,L (-11),1,6,15,0.4,2,5,0.4,0,0,,1,5,6,5,0,1,4,4,14,6.7,-4,0
37,2011-01-26 00:00:00.000000,22-318,NOH,L (-9),1,8,13,0.615,1,3,0.333,3,3,1.0,0,3,3,6,2,0,5,1,20,15.8,-4,0
38,2011-01-28 00:00:00.000000,22-320,CHA,L (-8),1,8,12,0.667,4,5,0.8,7,7,1.0,0,3,3,5,2,0,3,5,27,23.2,-3,0
39,2011-01-30 00:00:00.000000,22-322,UTA,W (+15),1,10,18,0.556,3,8,0.375,4,4,1.0,1,5,6,7,2,1,2,2,27,25.4,13,0
40,2011-02-03 00:00:00.000000,22-326,MIL,W (+6),1,6,11,0.545,2,4,0.5,2,2,1.0,1,4,5,5,1,1,7,2,16,10.0,4,0
41,2011-02-05 00:00:00.000000,22-328,CHI,W (+11),1,9,15,0.6,2,4,0.5,3,3,1.0,1,5,6,8,1,0,2,1,23,22.5,14,0
42,2011-02-07 00:00:00.000000,22-330,PHO,L (-12),1,7,17,0.412,0,6,0.0,1,1,1.0,0,2,2,8,1,0,5,1,15,7.7,-12,0
43,2011-02-09 00:00:00.000000,22-332,DEN,W (+2),1,5,9,0.556,1,3,0.333,2,2,1.0,0,1,1,2,0,0,3,4,13,5.8,-2,0
44,2011-02-10 00:00:00.000000,22-333,PHO,L (-24),1,5,9,0.556,2,3,0.667,0,0,,0,2,2,2,1,0,4,0,12,6.7,-26,1
45,2011-02-13 00:00:00.000000,22-336,OKC,W (+6),1,10,18,0.556,2,5,0.4,1,1,1.0,0,2,2,13,2,0,0,2,23,25.3,17,0
46,2011-02-15 00:00:00.000000,22-338,NOH,W (+13),1,5,5,1.0,3,3,1.0,1,1,1.0,0,0,0,8,1,0,3,3,14,14.9,13,0
47,2011-02-16 00:00:00.000000,22-339,UTA,W (+7),1,1,7,0.143,0,3,0.0,2,2,1.0,0,0,0,4,2,0,1,5,4,1.3,-6,1
48,2011-02-22 00:00:00.000000,22-345,BOS,L (-22),1,7,10,0.7,1,2,0.5,3,5,0.6,0,4,4,2,1,0,5,4,18,10.0,-15,0
49,2011-02-25 00:00:00.000000,22-348,ATL,L (-16),1,2,7,0.286,0,2,0.0,3,3,1.0,1,1,2,5,0,0,3,1,7,4.0,-27,0
50,2011-02-27 00:00:00.000000,22-350,MIN,L (-3),1,13,21,0.619,5,7,0.714,2,2,1.0,1,10,11,2,2,0,2,1,33,28.2,4,1
51,2011-03-01 00:00:00.000000,22-352,IND,L (-9),1,7,17,0.412,4,8,0.5,2,2,1.0,1,5,6,7,0,1,5,5,20,11.7,-19,1
52,2011-03-02 00:00:00.000000,22-353,WAS,W (+4),1,9,18,0.5,3,7,0.429,8,9,0.889,2,7,9,5,1,0,3,2,29,23.8,-8,1
53,2011-03-04 00:00:00.000000,22-355,BOS,L (-4),1,4,11,0.364,1,4,0.25,0,0,,2,1,3,5,0,0,4,3,9,2.9,-8,1
54,2011-03-06 00:00:00.000000,22-357,PHI,L (-8),1,8,16,0.5,1,3,0.333,5,5,1.0,0,1,1,7,0,2,4,3,22,15.4,6,1
55,2011-03-08 00:00:00.000000,22-359,CLE,W (+10),1,10,18,0.556,2,5,0.4,1,1,1.0,4,3,7,6,2,1,3,3,23,20.8,20,1
56,2011-03-09 00:00:00.000000,22-360,NJN,L (-4),1,6,15,0.4,2,4,0.5,1,1,1.0,0,3,3,3,2,0,3,3,15,7.7,-13,1
57,2011-03-11 00:00:00.000000,22-362,ORL,W (+3),1,8,19,0.421,4,10,0.4,2,2,1.0,0,4,4,12,3,0,5,4,22,17.9,1,0
58,2011-03-13 00:00:00.000000,22-364,MIN,W (+23),1,8,15,0.533,4,6,0.667,4,4,1.0,1,8,9,6,2,0,1,2,24,24.2,18,0
59,2011-03-14 00:00:00.000000,23-000,SAC,L (-10),1,7,14,0.5,5,8,0.625,0,0,,0,3,3,1,1,1,3,1,19,11.9,-12,1
60,2011-03-16 00:00:00.000000,23-002,DAL,L (-6),1,4,10,0.4,2,4,0.5,0,1,0.0,0,0,0,5,1,0,3,2,10,4.9,-10,0
61,2011-03-18 00:00:00.000000,23-004,PHO,L (-11),1,6,13,0.462,2,5,0.4,1,1,1.0,1,1,2,5,0,0,2,3,15,9.6,-18,1
62,2011-03-20 00:00:00.000000,23-006,DAL,L (-28),1,4,12,0.333,1,3,0.333,2,3,0.667,1,5,6,6,0,0,2,4,11,6.6,-8,1
63,2011-03-21 00:00:00.000000,23-007,SAS,L (-15),1,3,8,0.375,1,2,0.5,1,1,1.0,0,0,0,2,0,0,1,4,8,2.4,-12,1
64,2011-03-23 00:00:00.000000,23-009,HOU,L (-19),1,7,16,0.438,2,3,0.667,0,0,,3,3,6,6,1,0,4,4,16,10.2,-14,1
65,2011-03-25 00:00:00.000000,23-011,TOR,W (+38),1,7,13,0.538,4,6,0.667,5,5,1.0,0,3,3,8,0,0,3,2,23,19.4,43,0
66,2011-03-27 00:00:00.000000,23-013,WAS,W (+10),1,3,11,0.273,1,4,0.25,3,3,1.0,1,4,5,4,1,1,5,5,10,2.9,11,0
67,2011-03-29 00:00:00.000000,23-015,OKC,L (-1),1,13,23,0.565,5,8,0.625,4,4,1.0,1,5,6,5,2,0,6,3,35,24.6,6,1
68,2011-03-30 00:00:00.000000,23-016,MEM,L (-19),1,2,14,0.143,1,6,0.167,1,1,1.0,4,2,6,9,1,0,6,4,6,0.1,-21,1
69,2011-04-02 00:00:00.000000,23-019,DAL,W (+7),1,3,8,0.375,1,3,0.333,5,5,1.0,0,4,4,8,2,0,3,5,12,11.4,9,0
70,2011-04-05 00:00:00.000000,23-022,POR,W (+21),1,10,21,0.476,3,5,0.6,5,6,0.833,1,7,8,4,2,1,2,2,28,22.4,20,1
71,2011-04-06 00:00:00.000000,23-023,LAL,W (+8),1,8,23,0.348,2,6,0.333,2,2,1.0,2,4,6,5,2,0,2,3,20,12.0,2,0
72,2011-04-10 00:00:00.000000,23-027,SAC,L (-1),1,11,17,0.647,3,6,0.5,2,2,1.0,3,3,6,8,1,0,3,4,27,24.5,1,0
73,2011-04-11 00:00:00.000000,23-028,DEN,L (-23),1,10,13,0.769,3,4,0.75,4,4,1.0,1,4,5,5,0,0,5,1,27,21.9,-8,1
74,2011-04-13 00:00:00.000000,23-030,POR,W (+24),1,7,11,0.636,2,4,0.5,2,2,1.0,0,3,3,9,0,0,1,4,18,17.7,16,0
