entry_id,song,artist_id,candidate_id,sentiment,theme,album_release_year
1,None Shall Pass,1,1,neutral,,2011
2,Wellstone,2,1,negative,,2012
3,Awe,3,2,neutral,,2006
4,The Truth,4,2,negative,political,2006
5,Money Man,5,2,negative,personal,2007
6,Hidden Agenda,6,2,negative,political,2012
7,Bricks and Marijuana,7,2,neutral,,2001
8,Bush Song,8,2,negative,political,2005
9,Shoot Me in the Head,9,2,negative,political,2013
10,Chamber of Fear,10,2,neutral,personal,2005
11,Tell Me Why,11,2,neutral,personal,2005
12,Next Black President,12,3,positive,,2011
13,Daydreaming,13,4,neutral,,2014
14,Brass Tacks,14,4,neutral,,2016
15,PNT,15,5,negative,political,2015
16,Tec in the Church,16,6,neutral,,2016
17,Thugz Tear Dropz,17,6,negative,,2013
18,Gotta Be Insanity,18,6,positive,personal,2000
19,Shorty Baby,19,6,negative,personal,2013
20,Take Notice,20,6,neutral,,2012
21,Disgusting,21,6,neutral,personal,2012
22,My Heart,22,6,neutral,personal,2011
23,We Can Get It On,23,6,neutral,personal,2012
24,Where They Do That At,23,6,positive,,2015
25,What If,24,6,neutral,,2009
26,We Live This,25,6,neutral,,2000
27,Set Me Free,26,6,neutral,,2005
28,Letter to the King,27,6,neutral,political,2008
29,Grillz,28,6,neutral,,2005
30,Nothing on My Mind,29,6,neutral,,2013
31,Gossip Folks,30,6,negative,,2012
32,No Church in the Wild Freestyle,30,6,negative,political,2012
33,Again (Stankonia Remix),31,6,neutral,,2001
34,Energy,31,6,neutral,personal,2008
35,No Sunshine,32,6,positive,money,2007
36,Unapologetic,33,6,negative,political,2008
37,Dark Night of the Blood Spiller,34,6,negative,sexual,1994
38,Nunca,34,6,neutral,,2001
39,Datpiff (freeverse series Ep. 4),14,6,neutral,,2016
40,One,35,6,positive,money,2014
41,Single Again (Remix),36,6,positive,,2007
42,Fukinwichu,37,6,negative,personal,2001
43,Opening Day,38,6,negative,,2010
44,Role Model,39,6,negative,,1999
45,Sway in the Morning Freestyle,39,6,negative,political,2015
46,A Milli,40,6,negative,personal,2008
47,Hit It for Free,41,6,negative,personal,2002
48,Make U Feel Alright,42,6,positive,personal,2009
